Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,25.0,24,MEDIUM,1.0,98.516,1.0426518214338631,28.834,42.087,27.595,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,26.0,25,MEDIUM,1.0,98.839,1.046070317295684,28.768,42.378,27.693,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,27.0,26,MEDIUM,1.0,98.644,1.044006519484368,28.794,42.31,27.54,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,28.0,27,MEDIUM,1.0,97.7,1.034015621361895,28.663,41.481,27.556,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,29.0,28,MEDIUM,1.0,97.944,1.0365980145206697,28.916,41.686,27.342,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,30.0,29,MEDIUM,1.0,98.29,1.0402599326884405,28.893,41.829,27.568,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,31.0,30,MEDIUM,1.0,98.149,1.0387676481171813,28.907,41.833,27.409,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,32.0,31,MEDIUM,1.0,98.194,1.0392439091505619,28.854,41.918,27.422,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,33.0,32,MEDIUM,1.0,98.288,1.0402387655314014,28.894,42.004,27.39,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,34.0,33,MEDIUM,1.0,98.038,1.0375928709015092,28.802,41.815,27.421,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,35.0,34,MEDIUM,1.0,98.322,1.040598607201067,29.036,41.983,27.303,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,36.0,35,MEDIUM,1.0,98.147,1.0387464809601423,28.965,41.783,27.399,2.0,1,Street
